ticker,data_points,start_date,end_date,current_price,ytd_return,file_saved
AMD,415,2024-01-02,2025-08-27,167.13,20.601818444219933,daily_data_amd_complete.csv
C,415,2024-01-02,2025-08-27,96.87,82.63574660633486,daily_data_c_complete.csv
NU,415,2024-01-02,2025-08-27,14.64,80.07380073800736,daily_data_nu_complete.csv
RR,415,2024-01-02,2025-08-27,3.31,-45.289256198347104,daily_data_rr_complete.csv
UEC,415,2024-01-02,2025-08-27,10.37,61.02484472049687,daily_data_uec_complete.csv
MSOS,415,2024-01-02,2025-08-27,5.54,-18.0473372781065,daily_data_msos_complete.csv
IBKR,415,2024-01-02,2025-08-27,61.79,192.32406859846245,daily_data_ibkr_complete.csv
MU,415,2024-01-02,2025-08-27,117.75,43.004615010930294,daily_data_mu_complete.csv
ARRY,415,2024-01-02,2025-08-27,9.03,-46.757075471698116,daily_data_arry_complete.csv
ALTS,282,2024-07-15,2025-08-27,6.85,229.32692307692304,daily_data_alts_complete.csv
PSLV,415,2024-01-02,2025-08-27,13.05,62.92134831460676,daily_data_pslv_complete.csv
ETHA,276,2024-07-23,2025-08-27,34.56,31.70731707317074,daily_data_etha_complete.csv
NVDA,415,2024-01-02,2025-08-27,181.6,277.013785085534,daily_data_nvda_complete.csv
KWEB,415,2024-01-02,2025-08-27,37.47,43.728423475258914,daily_data_kweb_complete.csv
WBA,415,2024-01-02,2025-08-27,11.98,-55.04690431519699,daily_data_wba_complete.csv
SLV,415,2024-01-02,2025-08-27,34.99,61.61662817551965,daily_data_slv_complete.csv
RIOT,415,2024-01-02,2025-08-27,13.55,-12.070084360804668,daily_data_riot_complete.csv
AVGO,415,2024-01-02,2025-08-27,300.25,176.63122593008902,daily_data_avgo_complete.csv
CCL,415,2024-01-02,2025-08-27,32.34,87.0445344129555,daily_data_ccl_complete.csv
NVDL,415,2024-01-02,2025-08-27,90.55,532.1116928446772,daily_data_nvdl_complete.csv
EOSE,415,2024-01-02,2025-08-27,7.12,578.0952380952381,daily_data_eose_complete.csv
FXI,415,2024-01-02,2025-08-27,38.22,64.45783132530121,daily_data_fxi_complete.csv
EWZ,415,2024-01-02,2025-08-27,29.02,-15.565900494617392,daily_data_ewz_complete.csv
GLD,415,2024-01-02,2025-08-27,312.71,63.96287751677852,daily_data_gld_complete.csv
