ticker,training_return,testing_return,training_win_rate,testing_win_rate,avg_performance,consistency_score
CNH,29.050847907723167,2.137461275256114,80.0,33.33333333333333,15.594154591489641,12.902815928242935
XLE,13.419534568082359,2.0816848954003486,100.0,66.66666666666666,7.750609731741354,6.616824764473153
FAZ,-6.405016984930134,2.0486620982215653,40.0,66.66666666666666,-2.178177443354284,-3.023545351669454
AFRM,-8.363255118603385,1.7290765939329988,60.0,33.33333333333333,-3.3170892623351933,-4.326322433588832
USB,0.283645696461976,1.634888175733562,60.0,66.66666666666666,0.959266936097769,0.8241426881706104
VRAX,-25.51295967264301,1.6014272138156205,40.0,66.66666666666666,-11.955766229413694,-14.667204918059557
KDP,-7.307291843801722,1.5625608995332607,20.0,33.33333333333333,-2.8723654721342307,-3.759350746467729
DOC,-0.145615824086609,1.4985801147654243,40.0,33.33333333333333,0.6764821453394076,0.5120625514542043
BTBT,-24.90543068857429,1.216713475841269,20.0,33.33333333333333,-11.844358606366512,-14.456573022808069
FHN,-3.982347073359671,1.2161724685477049,60.0,66.66666666666666,-1.383087302405983,-1.9029392565967207
RSP,5.823443488322222,1.054872927372319,60.0,66.66666666666666,3.4391582078472704,2.96230115175228
HPQ,10.599053055453457,0.9503741258627185,60.0,66.66666666666666,5.774713590658088,4.809845697699014
IPG,4.169002533240418,0.9315873438943134,60.0,66.66666666666666,2.5502949385673657,2.226553419632755
ABEV,13.611961707302388,0.8638533265010517,80.0,66.66666666666666,7.2379075169017195,5.963096678821586
AVGO,29.360057348402368,0.776853552910417,60.0,66.66666666666666,15.068455450656392,12.210135071107198
KEY,-3.525008271351271,0.7638517468089967,60.0,66.66666666666666,-1.3805782622711371,-1.8094642640871639
MSFT,6.843600609142331,0.7451221813698838,60.0,66.66666666666666,3.7943613952561073,3.1845135524788626
GRAB,-0.4915924744975708,0.5852507797031947,60.0,66.66666666666666,0.04682915260281195,-0.0608551728172646
IBIO,-39.668257971935994,0.5458361746502494,40.0,33.33333333333333,-19.561210898642873,-23.582620313301497
STKH,-32.98500657114626,0.5382720019089904,20.0,33.33333333333333,-16.223367284618632,-19.575695141924157
AGNC,-0.7302296800627217,0.5143608668391586,40.0,33.33333333333333,-0.10793440661178155,-0.23239346130196958
EQT,13.00129464892974,0.4544959633984158,80.0,33.33333333333333,6.727895306164077,5.4732154376109445
ULTY,-21.23932360267309,0.4531313131313164,40.0,66.66666666666666,-10.393096144770887,-12.562341636351327
USHY,1.499355094596888,0.2579686552777849,60.0,66.66666666666666,0.8786618749373365,0.7545232310054262
GIS,-1.2992942038577038,0.2088370847685539,40.0,66.66666666666666,-0.5452285595445749,-0.6960416884072007
WU,13.817625589613813,0.20740883658114662,80.0,33.33333333333333,7.01251721309748,5.651495537794213
HYG,1.3919404871972851,0.1521075665094962,60.0,33.33333333333333,0.7720240268533907,0.6480407347846118
KO,4.876311348717888,0.05007704482988817,60.0,33.33333333333333,2.463194196773888,1.980570766385088
VCSH,-0.4664455630355002,-0.13909393781993407,20.0,33.33333333333333,-0.30276975042771714,-0.33550491294927376
CNQ,22.79182246111684,-0.1776178082149915,80.0,66.66666666666666,11.307102326450924,9.010158299517741
HBAN,-3.272018861277892,-0.23946315605744006,40.0,33.33333333333333,-1.7557410086676661,-2.0589965791897114
XLF,0.7719147734541965,-0.3614315992180428,60.0,33.33333333333333,0.20524158711807683,0.0919069498508529
VICI,2.4879657046209758,-0.37546705965045835,40.0,66.66666666666666,1.0562493224852587,0.7699060460581153
LQD,-2.505976683049471,-0.39198485213239875,20.0,33.33333333333333,-1.448980767590935,-1.6603799506826422
XLV,1.07543105640171,-0.4958103755941634,40.0,66.66666666666666,0.2898103404037733,0.13268619720418595
EWZ,8.897056710953354,-0.735059042956665,80.0,66.66666666666666,4.080998833998344,3.1177872586073425
PYPL,-10.059301872044212,-0.7986243792733272,40.0,33.33333333333333,-5.42896312565877,-6.355030874935858
XLP,3.046565841762394,-0.8041693658208948,40.0,33.33333333333333,1.1211982379707497,0.7361247172124208
CPB,-1.8236254995067758,-0.822328592035948,60.0,33.33333333333333,-1.3229770457713619,-1.4231067365184447
HOLO,-63.84493015878838,-0.8606013047135153,0.0,33.33333333333333,-32.35276573175095,-38.651198617158435
BAC,-4.763178691443959,-0.8681896078106544,60.0,66.66666666666666,-2.8156841496273066,-3.205183057990637
LCID,0.5808262659192431,-0.9047913601413216,40.0,66.66666666666666,-0.1619825471110392,-0.3105443097170957
CCL,-3.8424420178183594,-0.9611631508451901,40.0,66.66666666666666,-2.401802584331775,-2.6899304710290917
TLT,-6.22527503347693,-1.047157366474183,20.0,33.33333333333333,-3.6362161999755562,-4.154027966675831
ALLR,8.505164911285634,-1.1466198980911502,40.0,33.33333333333333,3.679272506597242,2.7140940256595636
DJT,19.09610491385678,-1.171860192639207,80.0,33.33333333333333,8.962122360608786,6.935325849959187
ALTS,-18.191703212133582,-1.4040275291845927,20.0,33.33333333333333,-9.797865370659087,-11.476632938953987
CMG,-6.5095588437185885,-1.575271784420773,40.0,33.33333333333333,-4.042415314069681,-4.5358440199994625
WMT,2.5235434185984174,-1.731567765913622,60.0,33.33333333333333,0.3959878263423977,-0.02952329210880622
RIVN,-0.6352290444586406,-1.8224835839319553,60.0,33.33333333333333,-1.228856314195298,-1.3475817681426294
VFC,-15.505064946182479,-2.1431252717701077,60.0,33.33333333333333,-8.824095108976293,-10.16028907641753
GLD,9.424015660152474,-2.163777076743223,60.0,33.33333333333333,3.6301192917046254,2.4713400180150558
CMCSA,4.2096503114804396,-2.2245512877369755,80.0,66.66666666666666,0.992549511871732,0.3491293519499905
BBD,17.757259467416063,-2.2323937066866306,60.0,33.33333333333333,7.762432880364716,5.763467562954446
ARRY,62.22484303448248,-2.2363916189653166,60.0,33.33333333333333,29.994225707758584,23.548102242413805
NOK,16.124093356675196,-2.485698527333857,80.0,66.66666666666666,6.819197414670669,4.958218226269764
LKQ,19.43547405790507,-2.6685119384504907,80.0,33.33333333333333,8.38348105972729,6.173082460091734
AIFF,-54.28092846631203,-2.7163309295849536,20.0,33.33333333333333,-28.49862969794849,-33.6550894516212
T,-4.200539365996681,-3.0547096724727107,40.0,33.33333333333333,-3.627624519234696,-3.742207488587093
CCCS,-9.504696131637902,-3.221007705624257,20.0,33.33333333333333,-6.36285191863108,-6.991220761232444
ADT,0.48863912730765513,-3.293979079615239,40.0,33.33333333333333,-1.402669976153792,-1.7809317968460814
VZ,4.7109392506314185,-3.3268556756311574,40.0,33.33333333333333,0.6920417875001306,-0.11173770512612702
CAG,-0.28896382336410786,-3.6483975580050787,40.0,33.33333333333333,-1.9686806906845933,-2.3046240641486904
ET,-0.5579117672417033,-3.7036290700625196,40.0,33.33333333333333,-2.1307704186521113,-2.445342148934193
NU,16.02837876661729,-3.7114233710467626,60.0,0.0,6.158477697785264,4.184497484018858
EXC,-0.03341704289681058,-4.0378729458764635,40.0,33.33333333333333,-2.035644994386637,-2.436090584684602
SDS,-11.928195141995502,-4.52225136286406,40.0,0.0,-8.225223252429782,-8.965817630342926
WMB,-6.561570987292087,-5.284237967221017,40.0,33.33333333333333,-5.922904477256552,-6.050637779263658
