ticker,current_price,1st_to_2nd_training_return,1st_to_2nd_training_win_rate,1st_to_2nd_training_trades,1st_to_2nd_testing_return,1st_to_2nd_testing_win_rate,1st_to_2nd_testing_trades,2nd_to_3rd_training_return,2nd_to_3rd_training_win_rate,2nd_to_3rd_training_trades,2nd_to_3rd_testing_return,2nd_to_3rd_testing_win_rate,2nd_to_3rd_testing_trades,3rd_to_4th_training_return,3rd_to_4th_training_win_rate,3rd_to_4th_training_trades,3rd_to_4th_testing_return,3rd_to_4th_testing_win_rate,3rd_to_4th_testing_trades,last_to_1st_training_return,last_to_1st_training_win_rate,last_to_1st_training_trades,last_to_1st_testing_return,last_to_1st_testing_win_rate,last_to_1st_testing_trades
HYG,79.535,0.38079006087341494,50.0,4,1.2611828272734549,100.0,2.0,1.7378482999953482,75.0,4,0.025204788909904963,100.0,1.0,2.7328396225993368,100.0,4,0.06299609424216257,100.0,1.0,-4.670982306746819,0.0,4,-0.2958952404935822,0.0,1.0
VCSH,79.455,-0.3460237848101899,25.0,4,-0.24130372707223957,0.0,2.0,0.8693291134700631,75.0,4,0.6052343749108458,100.0,2.0,1.6481475133185874,100.0,4,0.4822977384791205,100.0,2.0,-1.5836911333145354,25.0,4,-0.20909897351412132,0.0,1.0
ETSY,58.06,-7.431941119990726,0.0,4,14.796356583149795,100.0,2.0,0.11567831396430694,50.0,4,-1.1141475719991578,0.0,1.0,-2.6433655821556323,50.0,4,7.461734693877542,100.0,1.0,-14.20565338175458,25.0,4,16.16221562809099,100.0,1.0
SCHD,24.0393,-0.053603577650473966,66.66666666666666,3,,,,2.9245854791555947,66.66666666666666,3,,,,2.2067133549631412,100.0,3,,,,-12.69655402873877,33.33333333333333,3,,,
USB,43.245,-5.633508992871727,25.0,4,9.144585998003274,100.0,2.0,2.782358881444358,50.0,4,-1.869272585417281,50.0,2.0,5.282515165602142,75.0,4,-2.3665996874302375,0.0,1.0,-13.767919245536842,50.0,4,-0.22867596615594454,0.0,1.0
USHY,37.395,0.20349513991082535,50.0,4,1.383699786164172,100.0,2.0,1.904322797674718,75.0,4,0.32513711507102805,100.0,2.0,2.7580858666919505,100.0,4,0.5812809574589961,100.0,2.0,-5.217368359159591,0.0,4,-0.39220989991883837,0.0,1.0
CLSK,7.85,-3.670471033837308,66.66666666666666,3,,,,-0.9646210744558847,66.66666666666666,3,,,,-10.671231691474903,33.33333333333333,3,,,,-10.094813587767959,50.0,2,,,
HST,15.625,4.824228482006454,50.0,4,9.708628235149686,100.0,2.0,-2.5494825164702917,50.0,4,-3.5708839673557424,0.0,2.0,-3.738643702568012,25.0,4,0.25923525599482744,100.0,1.0,-8.294268773587564,25.0,4,-0.12928248222366934,0.0,1.0
CSX,32.125,1.601956694283757,50.0,4,9.427488855226574,100.0,2.0,2.0394911662891424,50.0,4,2.968337730870707,100.0,1.0,-4.647175891420908,50.0,4,0.7206918641896376,100.0,1.0,-8.729822682142618,50.0,4,-0.5724280489743938,0.0,1.0
TNA,29.43,-17.21717953534222,33.33333333333333,3,,,,25.388587580936118,66.66666666666666,3,,,,-13.699153066217185,33.33333333333333,3,,,,-13.894470869434494,0.0,2,,,
