ticker,current_price,1st_to_2nd_basic_training_return,1st_to_2nd_basic_training_win_rate,1st_to_2nd_basic_training_trades,1st_to_2nd_basic_testing_return,1st_to_2nd_basic_testing_win_rate,1st_to_2nd_basic_testing_trades,1st_to_2nd_rsi_filter_training_return,1st_to_2nd_rsi_filter_training_win_rate,1st_to_2nd_rsi_filter_training_trades,1st_to_2nd_rsi_filter_testing_return,1st_to_2nd_rsi_filter_testing_win_rate,1st_to_2nd_rsi_filter_testing_trades,1st_to_2nd_double_down_training_return,1st_to_2nd_double_down_training_win_rate,1st_to_2nd_double_down_training_trades,1st_to_2nd_double_down_testing_return,1st_to_2nd_double_down_testing_win_rate,1st_to_2nd_double_down_testing_trades,1st_to_2nd_double_down_double_down_triggers,1st_to_2nd_stop_loss_training_return,1st_to_2nd_stop_loss_training_win_rate,1st_to_2nd_stop_loss_training_trades,1st_to_2nd_stop_loss_testing_return,1st_to_2nd_stop_loss_testing_win_rate,1st_to_2nd_stop_loss_testing_trades,1st_to_2nd_stop_loss_stop_loss_triggers,2nd_to_3rd_basic_training_return,2nd_to_3rd_basic_training_win_rate,2nd_to_3rd_basic_training_trades,2nd_to_3rd_basic_testing_return,2nd_to_3rd_basic_testing_win_rate,2nd_to_3rd_basic_testing_trades,2nd_to_3rd_rsi_filter_training_return,2nd_to_3rd_rsi_filter_training_win_rate,2nd_to_3rd_rsi_filter_training_trades,2nd_to_3rd_rsi_filter_testing_return,2nd_to_3rd_rsi_filter_testing_win_rate,2nd_to_3rd_rsi_filter_testing_trades,2nd_to_3rd_double_down_training_return,2nd_to_3rd_double_down_training_win_rate,2nd_to_3rd_double_down_training_trades,2nd_to_3rd_double_down_testing_return,2nd_to_3rd_double_down_testing_win_rate,2nd_to_3rd_double_down_testing_trades,2nd_to_3rd_double_down_double_down_triggers,2nd_to_3rd_stop_loss_training_return,2nd_to_3rd_stop_loss_training_win_rate,2nd_to_3rd_stop_loss_training_trades,2nd_to_3rd_stop_loss_testing_return,2nd_to_3rd_stop_loss_testing_win_rate,2nd_to_3rd_stop_loss_testing_trades,2nd_to_3rd_stop_loss_stop_loss_triggers,3rd_to_4th_basic_training_return,3rd_to_4th_basic_training_win_rate,3rd_to_4th_basic_training_trades,3rd_to_4th_rsi_filter_training_return,3rd_to_4th_rsi_filter_training_win_rate,3rd_to_4th_rsi_filter_training_trades,3rd_to_4th_double_down_training_return,3rd_to_4th_double_down_training_win_rate,3rd_to_4th_double_down_training_trades,3rd_to_4th_stop_loss_training_return,3rd_to_4th_stop_loss_training_win_rate,3rd_to_4th_stop_loss_training_trades,last_to_1st_basic_training_return,last_to_1st_basic_training_win_rate,last_to_1st_basic_training_trades,last_to_1st_rsi_filter_training_return,last_to_1st_rsi_filter_training_win_rate,last_to_1st_rsi_filter_training_trades,last_to_1st_double_down_training_return,last_to_1st_double_down_training_win_rate,last_to_1st_double_down_training_trades,last_to_1st_stop_loss_training_return,last_to_1st_stop_loss_training_win_rate,last_to_1st_stop_loss_training_trades,3rd_to_4th_basic_testing_return,3rd_to_4th_basic_testing_win_rate,3rd_to_4th_basic_testing_trades,3rd_to_4th_rsi_filter_testing_return,3rd_to_4th_rsi_filter_testing_win_rate,3rd_to_4th_rsi_filter_testing_trades,3rd_to_4th_double_down_testing_return,3rd_to_4th_double_down_testing_win_rate,3rd_to_4th_double_down_testing_trades,3rd_to_4th_double_down_double_down_triggers,3rd_to_4th_stop_loss_testing_return,3rd_to_4th_stop_loss_testing_win_rate,3rd_to_4th_stop_loss_testing_trades,3rd_to_4th_stop_loss_stop_loss_triggers,last_to_1st_basic_testing_return,last_to_1st_basic_testing_win_rate,last_to_1st_basic_testing_trades,last_to_1st_rsi_filter_testing_return,last_to_1st_rsi_filter_testing_win_rate,last_to_1st_rsi_filter_testing_trades,last_to_1st_double_down_testing_return,last_to_1st_double_down_testing_win_rate,last_to_1st_double_down_testing_trades,last_to_1st_double_down_double_down_triggers,last_to_1st_stop_loss_testing_return,last_to_1st_stop_loss_testing_win_rate,last_to_1st_stop_loss_testing_trades,last_to_1st_stop_loss_stop_loss_triggers
IREN,6.045,-8.352080048208222,25.0,4,,,,2.939784014619984,33.33333333333333,3.0,,,,-1.9585090546686779,50.0,4,,,,,-8.352080048208222,25.0,4,,,,,10.82381109928221,75.0,4,,,,10.82381109928221,75.0,4.0,,,,10.82381109928221,75.0,4,,,,,10.82381109928221,75.0,4,,,,,-23.752372711394955,33.33333333333333,3,-23.752372711394955,33.33333333333333,3,-23.752372711394955,33.33333333333333,3,-23.752372711394955,33.33333333333333,3,-23.80257042460435,33.33333333333333,3,-23.80257042460435,33.33333333333333,3,-14.09548738960391,33.33333333333333,3,-20.778862901771188,33.33333333333333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBET,25.55,-17.577794429177864,25.0,4,-32.10235136512466,33.33333333333333,3.0,-5.6426122986566245,33.33333333333333,3.0,-0.02800200999949487,50.0,2.0,-13.780033558132743,25.0,4,-7.37612973540659,33.33333333333333,3.0,2.0,-17.577794429177864,25.0,4,-4.5511432850120155,33.33333333333333,3.0,2.0,-37.077080930969245,0.0,4,-57.133050813158206,33.33333333333333,3.0,-37.077080930969245,0.0,4.0,-57.133050813158206,33.33333333333333,3.0,-31.278509833185097,0.0,4,-55.35263439325744,33.33333333333333,3.0,1.0,-30.778080823738986,0.0,4,-57.133050813158206,33.33333333333333,3.0,0.0,-37.87516311673327,25.0,4,-37.87516311673327,25.0,4,-35.67374247041931,25.0,4,-37.87516311673327,25.0,4,92.93157594096728,75.0,4,92.93157594096728,75.0,4,115.86784130109385,100.0,4,67.33224062193928,75.0,4,724.4803431522017,50.0,2.0,724.4803431522017,50.0,2.0,847.9840839491159,50.0,2.0,1.0,802.5210086626187,50.0,2.0,1.0,99.23852724778651,100.0,2.0,27.828282828282823,100.0,1.0,99.23852724778651,100.0,2.0,0.0,99.23852724778651,100.0,2.0,0.0
RBLX,85.09,-14.452109393141143,25.0,4,2.3395070324467193,100.0,1.0,-6.24628530374125,50.0,2.0,2.3395070324467193,100.0,1.0,-11.916412685304111,25.0,4,2.3395070324467193,100.0,1.0,0.0,-14.452109393141143,25.0,4,2.3395070324467193,100.0,1.0,0.0,21.87501184847669,100.0,4,10.504830589195802,100.0,1.0,21.87501184847669,100.0,4.0,,,,21.87501184847669,100.0,4,10.504830589195802,100.0,1.0,0.0,21.87501184847669,100.0,4,10.504830589195802,100.0,1.0,0.0,11.952149937925949,75.0,4,11.952149937925949,75.0,4,11.952149937925949,75.0,4,11.952149937925949,75.0,4,4.247735561966048,75.0,4,4.247735561966048,75.0,4,4.247735561966048,75.0,4,4.247735561966048,75.0,4,5.147149365841663,100.0,1.0,,,,5.147149365841663,100.0,1.0,0.0,5.147149365841663,100.0,1.0,0.0,,,,,,,,,,,,,,
KGC,14.705,31.238022143402166,75.0,4,-5.6473829201102,0.0,1.0,26.280721108164286,66.66666666666666,3.0,-5.6473829201102,0.0,1.0,31.238022143402166,75.0,4,-5.6473829201102,0.0,1.0,0.0,31.238022143402166,75.0,4,-5.6473829201102,0.0,1.0,0.0,15.2495587486428,75.0,4,1.8978102189781243,100.0,1.0,20.161340377790005,100.0,2.0,1.8978102189781243,100.0,1.0,18.575946692152012,75.0,4,1.8978102189781243,100.0,1.0,0.0,15.2495587486428,75.0,4,1.8978102189781243,100.0,1.0,0.0,-1.7216100981677251,25.0,4,-0.6577033062669657,33.33333333333333,3,-1.7216100981677251,25.0,4,-1.7216100981677251,25.0,4,-2.4109710963828412,25.0,4,-2.4109710963828412,25.0,4,-2.4109710963828412,25.0,4,-2.4109710963828412,25.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDE,8.225,21.1167764580916,50.0,4,40.73394495412843,100.0,1.0,24.895293092956194,66.66666666666666,3.0,40.73394495412843,100.0,1.0,21.1167764580916,50.0,4,40.73394495412843,100.0,1.0,0.0,21.1167764580916,50.0,4,40.73394495412843,100.0,1.0,0.0,20.871119535486436,50.0,4,-2.868318122555402,0.0,1.0,20.871119535486436,50.0,4.0,,,,20.871119535486436,50.0,4,-2.868318122555402,0.0,1.0,0.0,20.871119535486436,50.0,4,-2.868318122555402,0.0,1.0,0.0,-26.868256931934752,0.0,4,-26.868256931934752,0.0,4,-26.868256931934752,0.0,4,-26.868256931934752,0.0,4,-11.972190598587352,25.0,4,-11.972190598587352,25.0,4,-3.120085125396277,25.0,4,-11.972190598587352,25.0,4,10.402684563758392,100.0,1.0,10.402684563758392,100.0,1.0,10.402684563758392,100.0,1.0,0.0,10.402684563758392,100.0,1.0,0.0,,,,,,,,,,,,,,
UUUU,5.465,12.450926985261134,50.0,4,3.4330011074197087,100.0,1.0,24.39820891953721,66.66666666666666,3.0,3.4330011074197087,100.0,1.0,17.70924134739742,50.0,4,3.4330011074197087,100.0,1.0,0.0,12.450926985261134,50.0,4,3.4330011074197087,100.0,1.0,0.0,18.434467124955468,75.0,4,-7.28051391862955,0.0,1.0,18.434467124955468,75.0,4.0,-7.28051391862955,0.0,1.0,18.434467124955468,75.0,4,-7.28051391862955,0.0,1.0,0.0,18.434467124955468,75.0,4,-7.28051391862955,0.0,1.0,0.0,-12.982544229155835,25.0,4,-12.982544229155835,25.0,4,-12.982544229155835,25.0,4,-12.982544229155835,25.0,4,-22.733044976720418,25.0,4,-22.733044976720418,25.0,4,-17.8596873036712,25.0,4,-18.675008834946595,25.0,4,26.212471131639713,100.0,1.0,26.212471131639713,100.0,1.0,26.212471131639713,100.0,1.0,0.0,26.212471131639713,100.0,1.0,0.0,,,,,,,,,,,,,,
XPEV,19.62,21.174887720111645,100.0,3,,,,20.40601152899417,100.0,2.0,,,,21.174887720111645,100.0,3,,,,,21.174887720111645,100.0,3,,,,,42.23359571537202,100.0,3,,,,33.02547612304949,100.0,2.0,,,,42.23359571537202,100.0,3,,,,,42.23359571537202,100.0,3,,,,,-9.231699583042907,66.66666666666666,3,-9.231699583042907,66.66666666666666,3,-1.88615986396512,66.66666666666666,3,-6.303689892173336,66.66666666666666,3,-0.42830556613108195,66.66666666666666,3,-0.42830556613108195,66.66666666666666,3,-0.42830556613108195,66.66666666666666,3,-0.42830556613108195,66.66666666666666,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR,15.11,-12.608797933895865,33.33333333333333,3,,,,10.053350844694474,50.0,2.0,,,,-5.582369627073436,33.33333333333333,3,,,,,-6.326682769399583,33.33333333333333,3,,,,,30.758387070308757,66.66666666666666,3,,,,30.758387070308757,66.66666666666666,3.0,,,,37.72481704454138,66.66666666666666,3,,,,,46.539571716725334,66.66666666666666,3,,,,,-28.909917007541353,33.33333333333333,3,-28.909917007541353,33.33333333333333,3,-26.852220861167673,33.33333333333333,3,-28.909917007541353,33.33333333333333,3,-1.833285923627903,50.0,2,-1.833285923627903,50.0,2,2.992756001695307,50.0,2,-1.833285923627903,50.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEM,50.78,36.541820633204104,100.0,4,-4.242881387893648,0.0,1.0,31.731309719907653,100.0,3.0,-4.242881387893648,0.0,1.0,36.541820633204104,100.0,4,-4.242881387893648,0.0,1.0,0.0,36.541820633204104,100.0,4,-4.242881387893648,0.0,1.0,0.0,24.959081245329926,100.0,4,,,,21.338192268328893,100.0,2.0,,,,24.959081245329926,100.0,4,,,,,24.959081245329926,100.0,4,,,,,-12.34431289906106,0.0,4,-10.446512123559604,0.0,3,-12.34431289906106,0.0,4,-12.34431289906106,0.0,4,-9.029689241817263,25.0,4,-9.029689241817263,25.0,4,-9.029689241817263,25.0,4,-9.029689241817263,25.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKLB,19.43,-17.851741937656705,33.33333333333333,3,,,,-1.0061932864623757,50.0,2.0,,,,-15.078624559733345,33.33333333333333,3,,,,,-17.851741937656705,33.33333333333333,3,,,,,32.235042587842486,66.66666666666666,3,,,,32.235042587842486,66.66666666666666,3.0,,,,37.46518431640595,66.66666666666666,3,,,,,32.235042587842486,66.66666666666666,3,,,,,-19.37778227596736,33.33333333333333,3,-19.37778227596736,33.33333333333333,3,-15.605270956050354,33.33333333333333,3,-19.37778227596736,33.33333333333333,3,-19.916297479846023,0.0,2,-19.916297479846023,0.0,2,-14.880301056592826,0.0,2,-14.846621032754726,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOBY,6.0392,-24.90496322825009,0.0,3,,,,-7.346601393497753,0.0,2.0,,,,-20.554267214796507,0.0,3,,,,,-17.494579335626113,0.0,3,,,,,20.80747288239575,100.0,3,,,,20.80747288239575,100.0,3.0,,,,20.80747288239575,100.0,3,,,,,20.80747288239575,100.0,3,,,,,-18.55574265555201,33.33333333333333,3,-18.55574265555201,33.33333333333333,3,-16.098942158298147,33.33333333333333,3,-18.55574265555201,33.33333333333333,3,-6.714961396550279,0.0,2,-6.714961396550279,0.0,2,-6.714961396550279,0.0,2,-6.714961396550279,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOFI,11.95,-25.462470648786507,0.0,3,,,,-19.109840306353544,0.0,2.0,,,,-19.283490076994212,0.0,3,,,,,-25.462470648786507,0.0,3,,,,,56.03644216777033,100.0,3,,,,56.03644216777033,100.0,3.0,,,,56.03644216777033,100.0,3,,,,,56.03644216777033,100.0,3,,,,,-23.33130683694279,0.0,2,-23.33130683694279,0.0,2,-20.290119285946396,0.0,2,-23.33130683694279,0.0,2,-9.652611161312418,0.0,2,-9.652611161312418,0.0,2,-9.652611161312418,0.0,2,-9.652611161312418,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIMS,27.97,-5.833105215052359,33.33333333333333,3,,,,-15.167158308751238,0.0,1.0,,,,4.846929305402425,33.33333333333333,3,,,,,-6.160547329633448,33.33333333333333,3,,,,,51.01713424381173,100.0,3,,,,15.618862565188717,100.0,2.0,,,,57.831656655176936,100.0,3,,,,,51.01713424381173,100.0,3,,,,,-3.0719105017002812,66.66666666666666,3,10.459307447745747,100.0,2,-0.48945696266921024,66.66666666666666,3,-3.0719105017002812,66.66666666666666,3,1.0057074742900296,50.0,2,1.0057074742900296,50.0,2,11.925685456208468,50.0,2,2.5699551564140055,50.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
